sentence,classification,prev2,prev1,next1,next2
we will now move on to our standing committee's agenda.,b,"No, Any further speakers.",Seeing none.,Our first committee is the Finance and Law Committee.,We have a few deferred papers: Bill 1667.
Our first committee is the Finance and Law Committee.,b,Seeing none.,we will now move on to our standing committee's agenda.,We have a few deferred papers: Bill 1667.,Bill 1667 Resolution.
We have a few deferred papers: Bill 1667.,b,we will now move on to our standing committee's agenda.,Our first committee is the Finance and Law Committee.,Bill 1667 Resolution.,I'm sorry.
Bill 1667 Resolution.,i,Our first committee is the Finance and Law Committee.,We have a few deferred papers: Bill 1667.,I'm sorry.,"I'm sorry, Madam Clerk."
I'm sorry.,i,We have a few deferred papers: Bill 1667.,Bill 1667 Resolution.,"I'm sorry, Madam Clerk.",I've had a request to read some of the bills together and I just want to have that in front of me.
"I'm sorry, Madam Clerk.",i,Bill 1667 Resolution.,I'm sorry.,I've had a request to read some of the bills together and I just want to have that in front of me.,"If we can read Bill 1667, Bill 1667 and 1691 together, Thank you."
I've had a request to read some of the bills together and I just want to have that in front of me.,b,I'm sorry.,"I'm sorry, Madam Clerk.","If we can read Bill 1667, Bill 1667 and 1691 together, Thank you.","Bill 1667: Resolution authorizing the issuance of a warrant in favor of Muhammad Bernie for tuition reimbursement for an amount not to exceed 33,292 over one year."
"If we can read Bill 1667, Bill 1667 and 1691 together, Thank you.",b,"I'm sorry, Madam Clerk.",I've had a request to read some of the bills together and I just want to have that in front of me.,"Bill 1667: Resolution authorizing the issuance of a warrant in favor of Muhammad Bernie for tuition reimbursement for an amount not to exceed 33,292 over one year.",And.
"Bill 1667: Resolution authorizing the issuance of a warrant in favor of Muhammad Bernie for tuition reimbursement for an amount not to exceed 33,292 over one year.",i,I've had a request to read some of the bills together and I just want to have that in front of me.,"If we can read Bill 1667, Bill 1667 and 1691 together, Thank you.",And.,"Bill 1691 Resolution transferring the amount of 33,292 within the 2025 operating budget from city council districts salaries and wages to the city council district."
And.,i,"If we can read Bill 1667, Bill 1667 and 1691 together, Thank you.","Bill 1667: Resolution authorizing the issuance of a warrant in favor of Muhammad Bernie for tuition reimbursement for an amount not to exceed 33,292 over one year.","Bill 1691 Resolution transferring the amount of 33,292 within the 2025 operating budget from city council districts salaries and wages to the city council district.",The bill is now in effect.
"Bill 1691 Resolution transferring the amount of 33,292 within the 2025 operating budget from city council districts salaries and wages to the city council district.",b,"Bill 1667: Resolution authorizing the issuance of a warrant in favor of Muhammad Bernie for tuition reimbursement for an amount not to exceed 33,292 over one year.",And.,The bill is now in effect.,The bill is now in effect.
The bill is now in effect.,i,And.,"Bill 1691 Resolution transferring the amount of 33,292 within the 2025 operating budget from city council districts salaries and wages to the city council district.",The bill is now in effect.,The bill is now in effect.
The bill is now in effect.,i,"Bill 1691 Resolution transferring the amount of 33,292 within the 2025 operating budget from city council districts salaries and wages to the city council district.",The bill is now in effect.,The bill is now in effect.,The bill is now in effect.
The bill is now in effect.,i,The bill is now in effect.,The bill is now in effect.,The bill is now in effect.,The bill is now in effect.
The bill is now in effect.,i,The bill is now in effect.,The bill is now in effect.,The bill is now in effect.,The bill is now in effect.
The bill is now in effect.,i,The bill is now in effect.,The bill is now in effect.,The bill is now in effect.,The bill is now in effect.
The bill is now in effect.,i,The bill is now in effect.,The bill is now in effect.,The bill is now in effect.,The bill is now in effect.
The bill is now in effect.,i,The bill is now in effect.,The bill is now in effect.,The bill is now in effect.,The bill is now in effect.
The bill is now in effect.,i,The bill is now in effect.,The bill is now in effect.,The bill is now in effect.,Resolution of a warrant for the purpose of tuition reimbursement to city council districts' salaries and wages regular to city council districts' employee benefits for the purpose of tuition reimbursement.
The bill is now in effect.,i,The bill is now in effect.,The bill is now in effect.,Resolution of a warrant for the purpose of tuition reimbursement to city council districts' salaries and wages regular to city council districts' employee benefits for the purpose of tuition reimbursement.,"A motion to hold six weeks A second, A second Discussion."
Resolution of a warrant for the purpose of tuition reimbursement to city council districts' salaries and wages regular to city council districts' employee benefits for the purpose of tuition reimbursement.,i,The bill is now in effect.,The bill is now in effect.,"A motion to hold six weeks A second, A second Discussion.","Seeing none all those in favor of a six-week hold, please indicate by saying aye, Aye, Aye, Aye, Aye."
"A motion to hold six weeks A second, A second Discussion.",b,The bill is now in effect.,Resolution of a warrant for the purpose of tuition reimbursement to city council districts' salaries and wages regular to city council districts' employee benefits for the purpose of tuition reimbursement.,"Seeing none all those in favor of a six-week hold, please indicate by saying aye, Aye, Aye, Aye, Aye.",Bill will be.
"Seeing none all those in favor of a six-week hold, please indicate by saying aye, Aye, Aye, Aye, Aye.",i,Resolution of a warrant for the purpose of tuition reimbursement to city council districts' salaries and wages regular to city council districts' employee benefits for the purpose of tuition reimbursement.,"A motion to hold six weeks A second, A second Discussion.",Bill will be.,bills will be held for six weeks.
Bill will be.,i,"A motion to hold six weeks A second, A second Discussion.","Seeing none all those in favor of a six-week hold, please indicate by saying aye, Aye, Aye, Aye, Aye.",bills will be held for six weeks.,"Bill 1675: Bill 1675 Resolution providing for the sale of certain property in the 23rd ward, First Council district."
bills will be held for six weeks.,i,"Seeing none all those in favor of a six-week hold, please indicate by saying aye, Aye, Aye, Aye, Aye.",Bill will be.,"Bill 1675: Bill 1675 Resolution providing for the sale of certain property in the 23rd ward, First Council district.",bill will be.
"Bill 1675: Bill 1675 Resolution providing for the sale of certain property in the 23rd ward, First Council district.",b,Bill will be.,bills will be held for six weeks.,bill will be.,bills will be held for six weeks.
bill will be.,i,bills will be held for six weeks.,"Bill 1675: Bill 1675 Resolution providing for the sale of certain property in the 23rd ward, First Council district.",bills will be held for six weeks.,"bill 1675 resolution providing for the sale of certain property in the 23rd ward, first council district, city of pittsburgh, acquired by the city of pittsburgh at tax sale."
bills will be held for six weeks.,i,"Bill 1675: Bill 1675 Resolution providing for the sale of certain property in the 23rd ward, First Council district.",bill will be.,"bill 1675 resolution providing for the sale of certain property in the 23rd ward, first council district, city of pittsburgh, acquired by the city of pittsburgh at tax sale.",we should hold one week second discussion.
"bill 1675 resolution providing for the sale of certain property in the 23rd ward, first council district, city of pittsburgh, acquired by the city of pittsburgh at tax sale.",b,bill will be.,bills will be held for six weeks.,we should hold one week second discussion.,seeing none.
we should hold one week second discussion.,i,bills will be held for six weeks.,"bill 1675 resolution providing for the sale of certain property in the 23rd ward, first council district, city of pittsburgh, acquired by the city of pittsburgh at tax sale.",seeing none.,"all those in favor of a one-week hold, please indicate by saying aye, aye."
seeing none.,i,"bill 1675 resolution providing for the sale of certain property in the 23rd ward, first council district, city of pittsburgh, acquired by the city of pittsburgh at tax sale.",we should hold one week second discussion.,"all those in favor of a one-week hold, please indicate by saying aye, aye.",bill will be held for one week.
"all those in favor of a one-week hold, please indicate by saying aye, aye.",i,we should hold one week second discussion.,seeing none.,bill will be held for one week.,new papers- bill 1728.
bill will be held for one week.,i,seeing none.,"all those in favor of a one-week hold, please indicate by saying aye, aye.",new papers- bill 1728.,"bill 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with fragelman, delray, barnson and lowey lp in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters."
new papers- bill 1728.,b,"all those in favor of a one-week hold, please indicate by saying aye, aye.",bill will be held for one week.,"bill 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with fragelman, delray, barnson and lowey lp in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters.",is there a motion?
"bill 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with fragelman, delray, barnson and lowey lp in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters.",i,bill will be held for one week.,new papers- bill 1728.,is there a motion?,motion to approve.
is there a motion?,b,new papers- bill 1728.,"bill 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with fragelman, delray, barnson and lowey lp in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters.",motion to approve.,is there a second second discussion?
motion to approve.,i,"bill 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with fragelman, delray, barnson and lowey lp in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters.",is there a motion?,is there a second second discussion?,"seeing none, all those in favor of bill 1728 please indicate by saying aye, aye, affirmative recommendation."
is there a second second discussion?,i,is there a motion?,motion to approve.,"seeing none, all those in favor of bill 1728 please indicate by saying aye, aye, affirmative recommendation.","bill 1736 ordinance amending the pittsburgh code, title six, conduct."
"seeing none, all those in favor of bill 1728 please indicate by saying aye, aye, affirmative recommendation.",i,motion to approve.,is there a second second discussion?,"bill 1736 ordinance amending the pittsburgh code, title six, conduct.","article one, regulated rights and actions, chapter six, two, six."
"bill 1736 ordinance amending the pittsburgh code, title six, conduct.",b,is there a second second discussion?,"seeing none, all those in favor of bill 1728 please indicate by saying aye, aye, affirmative recommendation.","article one, regulated rights and actions, chapter six, two, six.","paid sick days act, section six, two, six oh three: accrual of sick time so as to change the rate at which employees can accumulate paid sick leave hours and increase the maximum total amount of paid sick leave hours that can be accumulated."
"article one, regulated rights and actions, chapter six, two, six.",i,"seeing none, all those in favor of bill 1728 please indicate by saying aye, aye, affirmative recommendation.","bill 1736 ordinance amending the pittsburgh code, title six, conduct.","paid sick days act, section six, two, six oh three: accrual of sick time so as to change the rate at which employees can accumulate paid sick leave hours and increase the maximum total amount of paid sick leave hours that can be accumulated.",motion to approve.
"paid sick days act, section six, two, six oh three: accrual of sick time so as to change the rate at which employees can accumulate paid sick leave hours and increase the maximum total amount of paid sick leave hours that can be accumulated.",i,"bill 1736 ordinance amending the pittsburgh code, title six, conduct.","article one, regulated rights and actions, chapter six, two, six.",motion to approve.,second discussion is: would anyone like to defer to the bill?
motion to approve.,b,"article one, regulated rights and actions, chapter six, two, six.","paid sick days act, section six, two, six oh three: accrual of sick time so as to change the rate at which employees can accumulate paid sick leave hours and increase the maximum total amount of paid sick leave hours that can be accumulated.",second discussion is: would anyone like to defer to the bill?,sponsor?
second discussion is: would anyone like to defer to the bill?,b,"paid sick days act, section six, two, six oh three: accrual of sick time so as to change the rate at which employees can accumulate paid sick leave hours and increase the maximum total amount of paid sick leave hours that can be accumulated.",motion to approve.,sponsor?,i would.
sponsor?,i,motion to approve.,second discussion is: would anyone like to defer to the bill?,i would.,"pathways, academic areas, financial aid programs."
i would.,i,second discussion is: would anyone like to defer to the bill?,sponsor?,"pathways, academic areas, financial aid programs.","ambassador, i would like to call on those honored members today to the former manager of university accounting for the cost of schools, Tony R, a 17 resort project, as mentioned earlier, and will pursue by the comprehensiveettenção."
"pathways, academic areas, financial aid programs.",i,sponsor?,i would.,"ambassador, i would like to call on those honored members today to the former manager of university accounting for the cost of schools, Tony R, a 17 resort project, as mentioned earlier, and will pursue by the comprehensiveettenção.",they are cr jaws taxing the houses only earned by certain.
"ambassador, i would like to call on those honored members today to the former manager of university accounting for the cost of schools, Tony R, a 17 resort project, as mentioned earlier, and will pursue by the comprehensiveettenção.",b,i would.,"pathways, academic areas, financial aid programs.",they are cr jaws taxing the houses only earned by certain.,"I'm happy to move along and come back to this bill at the end of the meeting or when he's available to handle this, But I'm happy to take discussion in the meantime."
they are cr jaws taxing the houses only earned by certain.,i,"pathways, academic areas, financial aid programs.","ambassador, i would like to call on those honored members today to the former manager of university accounting for the cost of schools, Tony R, a 17 resort project, as mentioned earlier, and will pursue by the comprehensiveettenção.","I'm happy to move along and come back to this bill at the end of the meeting or when he's available to handle this, But I'm happy to take discussion in the meantime.","Yep, Madam Chair, I just wanted to tell you I spoke to our president yesterday on this and, yeah, he informed me and I wished also that we were gonna hold this for a public hearing."
"I'm happy to move along and come back to this bill at the end of the meeting or when he's available to handle this, But I'm happy to take discussion in the meantime.",i,"ambassador, i would like to call on those honored members today to the former manager of university accounting for the cost of schools, Tony R, a 17 resort project, as mentioned earlier, and will pursue by the comprehensiveettenção.",they are cr jaws taxing the houses only earned by certain.,"Yep, Madam Chair, I just wanted to tell you I spoke to our president yesterday on this and, yeah, he informed me and I wished also that we were gonna hold this for a public hearing.","But if we have to go back to it, that's whatever you decide."
"Yep, Madam Chair, I just wanted to tell you I spoke to our president yesterday on this and, yeah, he informed me and I wished also that we were gonna hold this for a public hearing.",p,they are cr jaws taxing the houses only earned by certain.,"I'm happy to move along and come back to this bill at the end of the meeting or when he's available to handle this, But I'm happy to take discussion in the meantime.","But if we have to go back to it, that's whatever you decide.","Sure, any further discussion on the bill in the meantime?"
"But if we have to go back to it, that's whatever you decide.",i,"I'm happy to move along and come back to this bill at the end of the meeting or when he's available to handle this, But I'm happy to take discussion in the meantime.","Yep, Madam Chair, I just wanted to tell you I spoke to our president yesterday on this and, yeah, he informed me and I wished also that we were gonna hold this for a public hearing.","Sure, any further discussion on the bill in the meantime?","Okay, we will resume discussion and take a final vote on the next steps on this bill when the council president is able to join us again."
"Sure, any further discussion on the bill in the meantime?",i,"Yep, Madam Chair, I just wanted to tell you I spoke to our president yesterday on this and, yeah, he informed me and I wished also that we were gonna hold this for a public hearing.","But if we have to go back to it, that's whatever you decide.","Okay, we will resume discussion and take a final vote on the next steps on this bill when the council president is able to join us again.","Okay, that moves us on to invoices."
"Okay, we will resume discussion and take a final vote on the next steps on this bill when the council president is able to join us again.",b,"But if we have to go back to it, that's whatever you decide.","Sure, any further discussion on the bill in the meantime?","Okay, that moves us on to invoices.",Is there a motion on invoices?
"Okay, that moves us on to invoices.",b,"Sure, any further discussion on the bill in the meantime?","Okay, we will resume discussion and take a final vote on the next steps on this bill when the council president is able to join us again.",Is there a motion on invoices?,So moved?
Is there a motion on invoices?,i,"Okay, we will resume discussion and take a final vote on the next steps on this bill when the council president is able to join us again.","Okay, that moves us on to invoices.",So moved?,Is there a second?
So moved?,i,"Okay, that moves us on to invoices.",Is there a motion on invoices?,Is there a second?,"Oh, second, yeah."
Is there a second?,i,Is there a motion on invoices?,So moved?,"Oh, second, yeah.",Discussion Seeing none.
"Oh, second, yeah.",i,So moved?,Is there a second?,Discussion Seeing none.,"All those in favor of invoices, please indicate by saying aye, Aye, Invoices are approved."
Discussion Seeing none.,b,Is there a second?,"Oh, second, yeah.","All those in favor of invoices, please indicate by saying aye, Aye, Invoices are approved.",That moves us on to P cards.
"All those in favor of invoices, please indicate by saying aye, Aye, Invoices are approved.",i,"Oh, second, yeah.",Discussion Seeing none.,That moves us on to P cards.,Is there a motion on P cards?
That moves us on to P cards.,b,Discussion Seeing none.,"All those in favor of invoices, please indicate by saying aye, Aye, Invoices are approved.",Is there a motion on P cards?,Motion to approve?
Is there a motion on P cards?,b,"All those in favor of invoices, please indicate by saying aye, Aye, Invoices are approved.",That moves us on to P cards.,Motion to approve?,Second Discussion: Seeing none.
Motion to approve?,i,That moves us on to P cards.,Is there a motion on P cards?,Second Discussion: Seeing none.,"All those in favor of P cards, please indicate by saying aye, Aye, Aye, P cards are approved."
Second Discussion: Seeing none.,b,Is there a motion on P cards?,Motion to approve?,"All those in favor of P cards, please indicate by saying aye, Aye, Aye, P cards are approved.","That moves us to Public Works and Infrastructure Committee, chaired by Councilperson Warwick."
"All those in favor of P cards, please indicate by saying aye, Aye, Aye, P cards are approved.",i,Motion to approve?,Second Discussion: Seeing none.,"That moves us to Public Works and Infrastructure Committee, chaired by Councilperson Warwick.",Bill 7.
"That moves us to Public Works and Infrastructure Committee, chaired by Councilperson Warwick.",b,Second Discussion: Seeing none.,"All those in favor of P cards, please indicate by saying aye, Aye, Aye, P cards are approved.",Bill 7.,"0, Airline 8 of 9 2017."
Bill 7.,b,"All those in favor of P cards, please indicate by saying aye, Aye, Aye, P cards are approved.","That moves us to Public Works and Infrastructure Committee, chaired by Councilperson Warwick.","0, Airline 8 of 9 2017.","8, 17, Thirteen Deferred Paper resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an agreement and or amendments, with the University of Pittsburgh for the purpose of providing supplemental waste operations in the Oakland neighborhood at no cost to the city."
"0, Airline 8 of 9 2017.",i,"That moves us to Public Works and Infrastructure Committee, chaired by Councilperson Warwick.",Bill 7.,"8, 17, Thirteen Deferred Paper resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an agreement and or amendments, with the University of Pittsburgh for the purpose of providing supplemental waste operations in the Oakland neighborhood at no cost to the city.","I have an amendment, So motion to amend."
"8, 17, Thirteen Deferred Paper resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an agreement and or amendments, with the University of Pittsburgh for the purpose of providing supplemental waste operations in the Oakland neighborhood at no cost to the city.",b,Bill 7.,"0, Airline 8 of 9 2017.","I have an amendment, So motion to amend.",Second Discussion: The amendment 19.
"I have an amendment, So motion to amend.",b,"0, Airline 8 of 9 2017.","8, 17, Thirteen Deferred Paper resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an agreement and or amendments, with the University of Pittsburgh for the purpose of providing supplemental waste operations in the Oakland neighborhood at no cost to the city.",Second Discussion: The amendment 19.,17.
Second Discussion: The amendment 19.,i,"8, 17, Thirteen Deferred Paper resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an agreement and or amendments, with the University of Pittsburgh for the purpose of providing supplemental waste operations in the Oakland neighborhood at no cost to the city.","I have an amendment, So motion to amend.",17.,I think.
17.,i,"I have an amendment, So motion to amend.",Second Discussion: The amendment 19.,I think.,"so, yeah, motion to approve."
I think.,i,Second Discussion: The amendment 19.,17.,"so, yeah, motion to approve.",be free.
"so, yeah, motion to approve.",i,17.,I think.,be free.,motion to amend.
be free.,i,I think.,"so, yeah, motion to approve.",motion to amend.,"oh, apologies."
motion to amend.,i,"so, yeah, motion to approve.",be free.,"oh, apologies.",motion to approve second and then motion to amend.
"oh, apologies.",i,be free.,motion to amend.,motion to approve second and then motion to amend.,"to amend: we have a second, second, second discussion on the proposed amendment i."
motion to approve second and then motion to amend.,i,motion to amend.,"oh, apologies.","to amend: we have a second, second, second discussion on the proposed amendment i.","i, if the director and supervisor here, i'd like to call them up, thank you."
"to amend: we have a second, second, second discussion on the proposed amendment i.",i,"oh, apologies.",motion to approve second and then motion to amend.,"i, if the director and supervisor here, i'd like to call them up, thank you.","thank you, chris hornstein, director of public works."
"i, if the director and supervisor here, i'd like to call them up, thank you.",i,motion to approve second and then motion to amend.,"to amend: we have a second, second, second discussion on the proposed amendment i.","thank you, chris hornstein, director of public works.","sean weigel, superintendent environmental services."
"thank you, chris hornstein, director of public works.",i,"to amend: we have a second, second, second discussion on the proposed amendment i.","i, if the director and supervisor here, i'd like to call them up, thank you.","sean weigel, superintendent environmental services.",thank you guys for being here.
"sean weigel, superintendent environmental services.",i,"i, if the director and supervisor here, i'd like to call them up, thank you.","thank you, chris hornstein, director of public works.",thank you guys for being here.,can we talk a little bit about what we're looking at here?
thank you guys for being here.,i,"thank you, chris hornstein, director of public works.","sean weigel, superintendent environmental services.",can we talk a little bit about what we're looking at here?,"yeah, absolutely so."
can we talk a little bit about what we're looking at here?,b,"sean weigel, superintendent environmental services.",thank you guys for being here.,"yeah, absolutely so.",this is to help fund a supplemental collection in oakland.
"yeah, absolutely so.",i,thank you guys for being here.,can we talk a little bit about what we're looking at here?,this is to help fund a supplemental collection in oakland.,so we've been working with the university of pittsburgh and they have agreed to a maximum of 15 additional collections in oakland to support the cleanliness of the neighborhood.
this is to help fund a supplemental collection in oakland.,b,can we talk a little bit about what we're looking at here?,"yeah, absolutely so.",so we've been working with the university of pittsburgh and they have agreed to a maximum of 15 additional collections in oakland to support the cleanliness of the neighborhood.,so we've been working with the university to pick up additional trash.
so we've been working with the university of pittsburgh and they have agreed to a maximum of 15 additional collections in oakland to support the cleanliness of the neighborhood.,i,"yeah, absolutely so.",this is to help fund a supplemental collection in oakland.,so we've been working with the university to pick up additional trash.,this was work that the university was trying to do themselves but it created a lot of confusion.
so we've been working with the university to pick up additional trash.,i,this is to help fund a supplemental collection in oakland.,so we've been working with the university of pittsburgh and they have agreed to a maximum of 15 additional collections in oakland to support the cleanliness of the neighborhood.,this was work that the university was trying to do themselves but it created a lot of confusion.,it wasn't necessarily effective as we would have liked.
this was work that the university was trying to do themselves but it created a lot of confusion.,i,so we've been working with the university of pittsburgh and they have agreed to a maximum of 15 additional collections in oakland to support the cleanliness of the neighborhood.,so we've been working with the university to pick up additional trash.,it wasn't necessarily effective as we would have liked.,so they have agreed to fund this on a per collection event basis to cover the city's costs to do additional pickup in the neighborhood.
it wasn't necessarily effective as we would have liked.,i,so we've been working with the university to pick up additional trash.,this was work that the university was trying to do themselves but it created a lot of confusion.,so they have agreed to fund this on a per collection event basis to cover the city's costs to do additional pickup in the neighborhood.,"okay, do we know when those 15 supplemental pickups will be, or is it just as needed as needed?"
so they have agreed to fund this on a per collection event basis to cover the city's costs to do additional pickup in the neighborhood.,i,this was work that the university was trying to do themselves but it created a lot of confusion.,it wasn't necessarily effective as we would have liked.,"okay, do we know when those 15 supplemental pickups will be, or is it just as needed as needed?","truly, we see the biggest amount of trash when the students move back in in the fall, sure?"
"okay, do we know when those 15 supplemental pickups will be, or is it just as needed as needed?",i,it wasn't necessarily effective as we would have liked.,so they have agreed to fund this on a per collection event basis to cover the city's costs to do additional pickup in the neighborhood.,"truly, we see the biggest amount of trash when the students move back in in the fall, sure?","so trying to get everything in place, perhaps with tolerate- you, you know, doesn't sound like a lot like nation."
"truly, we see the biggest amount of trash when the students move back in in the fall, sure?",i,so they have agreed to fund this on a per collection event basis to cover the city's costs to do additional pickup in the neighborhood.,"okay, do we know when those 15 supplemental pickups will be, or is it just as needed as needed?","so trying to get everything in place, perhaps with tolerate- you, you know, doesn't sound like a lot like nation.","all right, good, because no one's making it rightin."
"so trying to get everything in place, perhaps with tolerate- you, you know, doesn't sound like a lot like nation.",i,"okay, do we know when those 15 supplemental pickups will be, or is it just as needed as needed?","truly, we see the biggest amount of trash when the students move back in in the fall, sure?","all right, good, because no one's making it rightin.",yes and no question.
"all right, good, because no one's making it rightin.",i,"truly, we see the biggest amount of trash when the students move back in in the fall, sure?","so trying to get everything in place, perhaps with tolerate- you, you know, doesn't sound like a lot like nation.",yes and no question.,thank you for that.
yes and no question.,i,"so trying to get everything in place, perhaps with tolerate- you, you know, doesn't sound like a lot like nation.","all right, good, because no one's making it rightin.",thank you for that.,or is there something?
thank you for that.,i,"all right, good, because no one's making it rightin.",yes and no question.,or is there something?,"the one thing the Mayors are isaders or that the students must know is that they really want to be from the visitors side because certain of the behavior is allowed to take breakfast, what like trend you've talked about?"
or is there something?,i,yes and no question.,thank you for that.,"the one thing the Mayors are isaders or that the students must know is that they really want to be from the visitors side because certain of the behavior is allowed to take breakfast, what like trend you've talked about?","during the event, I wanted to keep my miles or chill for a long five steps."
"the one thing the Mayors are isaders or that the students must know is that they really want to be from the visitors side because certain of the behavior is allowed to take breakfast, what like trend you've talked about?",i,thank you for that.,or is there something?,"during the event, I wanted to keep my miles or chill for a long five steps.",we don't want it in the context.
"during the event, I wanted to keep my miles or chill for a long five steps.",i,or is there something?,"the one thing the Mayors are isaders or that the students must know is that they really want to be from the visitors side because certain of the behavior is allowed to take breakfast, what like trend you've talked about?",we don't want it in the context.,"perhaps we will do one shortly when we have the smaller amount, but definitely to be ready to go for when the kids move back in."
we don't want it in the context.,i,"the one thing the Mayors are isaders or that the students must know is that they really want to be from the visitors side because certain of the behavior is allowed to take breakfast, what like trend you've talked about?","during the event, I wanted to keep my miles or chill for a long five steps.","perhaps we will do one shortly when we have the smaller amount, but definitely to be ready to go for when the kids move back in.","Cool, Are we doing anything?"
"perhaps we will do one shortly when we have the smaller amount, but definitely to be ready to go for when the kids move back in.",i,"during the event, I wanted to keep my miles or chill for a long five steps.",we don't want it in the context.,"Cool, Are we doing anything?","I know that there have been efforts to get dumpsters placed on the street during move-in, when the- you know August 1st, when that move-in happens, that we've looked in the past of just staging dumpsters all throughout."
"Cool, Are we doing anything?",i,we don't want it in the context.,"perhaps we will do one shortly when we have the smaller amount, but definitely to be ready to go for when the kids move back in.","I know that there have been efforts to get dumpsters placed on the street during move-in, when the- you know August 1st, when that move-in happens, that we've looked in the past of just staging dumpsters all throughout.",Have we considered that again?
"I know that there have been efforts to get dumpsters placed on the street during move-in, when the- you know August 1st, when that move-in happens, that we've looked in the past of just staging dumpsters all throughout.",i,"perhaps we will do one shortly when we have the smaller amount, but definitely to be ready to go for when the kids move back in.","Cool, Are we doing anything?",Have we considered that again?,or is that My understanding?
Have we considered that again?,i,"Cool, Are we doing anything?","I know that there have been efforts to get dumpsters placed on the street during move-in, when the- you know August 1st, when that move-in happens, that we've looked in the past of just staging dumpsters all throughout.",or is that My understanding?,there was too much abuse with that program that the intended purpose of it was not happening.
or is that My understanding?,i,"I know that there have been efforts to get dumpsters placed on the street during move-in, when the- you know August 1st, when that move-in happens, that we've looked in the past of just staging dumpsters all throughout.",Have we considered that again?,there was too much abuse with that program that the intended purpose of it was not happening.,Folks were coming in and filling the dumpsters before the residents could even use them.
there was too much abuse with that program that the intended purpose of it was not happening.,i,Have we considered that again?,or is that My understanding?,Folks were coming in and filling the dumpsters before the residents could even use them.,We've tried some different options since then and this is where we're at now.
Folks were coming in and filling the dumpsters before the residents could even use them.,i,or is that My understanding?,there was too much abuse with that program that the intended purpose of it was not happening.,We've tried some different options since then and this is where we're at now.,"Okay, Well, I'm really glad to see this happen."
We've tried some different options since then and this is where we're at now.,i,there was too much abuse with that program that the intended purpose of it was not happening.,Folks were coming in and filling the dumpsters before the residents could even use them.,"Okay, Well, I'm really glad to see this happen.","I think this is, you know, really something that we need to see more of, You know."
"Okay, Well, I'm really glad to see this happen.",p,Folks were coming in and filling the dumpsters before the residents could even use them.,We've tried some different options since then and this is where we're at now.,"I think this is, you know, really something that we need to see more of, You know.","I also know that the university is paying, you know, a good bit for this."
"I think this is, you know, really something that we need to see more of, You know.",i,We've tried some different options since then and this is where we're at now.,"Okay, Well, I'm really glad to see this happen.","I also know that the university is paying, you know, a good bit for this.",This is not a small expense for the university.
"I also know that the university is paying, you know, a good bit for this.",i,"Okay, Well, I'm really glad to see this happen.","I think this is, you know, really something that we need to see more of, You know.",This is not a small expense for the university.,"You know, when they were going to do this with a private contractor, it was a lot cheaper."
This is not a small expense for the university.,i,"I think this is, you know, really something that we need to see more of, You know.","I also know that the university is paying, you know, a good bit for this.","You know, when they were going to do this with a private contractor, it was a lot cheaper.","So I'm glad to see that they're willing to pony up and do this, you know, an extra 15 times, And I'm hoping that we see a lot of success out of this and, looking forward to it, To a cleaner Oakland."
"You know, when they were going to do this with a private contractor, it was a lot cheaper.",i,"I also know that the university is paying, you know, a good bit for this.",This is not a small expense for the university.,"So I'm glad to see that they're willing to pony up and do this, you know, an extra 15 times, And I'm hoping that we see a lot of success out of this and, looking forward to it, To a cleaner Oakland.","So, Thank you, Awesome Thanks guys."
"So I'm glad to see that they're willing to pony up and do this, you know, an extra 15 times, And I'm hoping that we see a lot of success out of this and, looking forward to it, To a cleaner Oakland.",i,This is not a small expense for the university.,"You know, when they were going to do this with a private contractor, it was a lot cheaper.","So, Thank you, Awesome Thanks guys.","Councilwoman Kale-Smith, I just real briefly."
"So, Thank you, Awesome Thanks guys.",i,"You know, when they were going to do this with a private contractor, it was a lot cheaper.","So I'm glad to see that they're willing to pony up and do this, you know, an extra 15 times, And I'm hoping that we see a lot of success out of this and, looking forward to it, To a cleaner Oakland.","Councilwoman Kale-Smith, I just real briefly.","I just wanted to mention that I actually was- I apologize, it was late."
"Councilwoman Kale-Smith, I just real briefly.",b,"So I'm glad to see that they're willing to pony up and do this, you know, an extra 15 times, And I'm hoping that we see a lot of success out of this and, looking forward to it, To a cleaner Oakland.","So, Thank you, Awesome Thanks guys.","I just wanted to mention that I actually was- I apologize, it was late.","I was actually meeting with Kevin Quigley about red up stuff and trying to understand a little bit about what they did differently, And one of the things we talked about is maybe putting some of the trash collections instead of the alleys in Sheridan."
